Speed,Acceleration,EngineRevolution,Accelerator,Clutch,Brake,Steering,Switches,Gear,WheelSlip,DistanceToCenterOfLane,PX,PY,PZ,category,output
19.60313772,-0.215903987,231.7582425,0.032861099,0.997190733,0.022419935,-0.024093772,0,4,0,2.366107999,1268.600496,4208.71236,-0.01,200Y,0
21.77713914,-0.197734129,178.230574,0.139791169,0.998958711,0.03131074,-0.027392076,0,5,0,2.87647313,1269.28932,4210.109535,-0.01,200Y,0
24.19200032,-0.012258814,285.9099455,0.117207853,0.992127404,0,-0.052343365,0,4,0,2.691670604,-4196.839872,5596.825897,0,200Y,0
21.69285599,-0.092381257,256.4065421,0.150276512,0.999409609,0.028051839,-0.03036866,0,4,0,2.299061987,1263.741898,4214.450866,-0.01,200Y,0
19.77692305,-0.093412013,253.0788626,0.058682251,0.925787879,0.012395563,-0.023093788,0,3,0,2.837987813,1263.935444,4211.609881,-0.01,200Y,0
21.21180866,0.059842379,173.534888,0.45255254,0.993429677,0.027451386,-0.032502714,0,5,0,2.259788804,1255.290346,4220.841582,-0.01,200Y,0
16.96594068,-0.12581435,264.8265119,0.037514237,0.928838418,0.017387571,-0.024412384,0,2.325423729,0,2.473995494,-4194.172927,5600.844113,0,200Y,0
20.12598678,-0.03509967,164.6767302,0.055928634,0.990895485,0,-0.024630551,0,5,0,2.534836393,1259.818084,4212.360815,-0.01,200Y,0
20.7328805,-0.079036508,245.056288,0.134421542,0.962527211,0.029961111,-0.027320873,0,4,0,2.77988421,1256.756531,4218.690522,-0.01,200Y,0
24.95840407,0.017354336,294.9561341,0.160684417,0.959617344,0.006948509,-0.046987575,0,4,0,3.361992406,1258.041436,4216.702737,-0.01,200Y,0
21.67567747,0.028579694,256.1564924,0.196979694,0.992394576,0.016159527,0.038528108,0,4,0,3.167107093,1621.182962,95.42738526,-0.000570236,200Z,1
13.43285793,-0.593537625,255.9762584,0.337446056,0.574716047,0.160926111,0.226203753,0.330915684,3.167724388,10.63825929,4.835312783,-2389.031922,3445.224388,-0.003200363,200Z,1
18.89768002,-0.202290256,223.415922,0.294645067,0.961619001,0.072555786,0.040058027,0,4,1.286236297,2.71680877,4158.749854,2417.124848,-0.01,200Z,1
19.72976603,-0.212984231,161.4835897,0.302192436,0.999963462,0.055315,0.033492141,0,5,0,3.586628205,-2383.51141,3415.09641,0,200Z,1
17.95082371,-0.335147196,146.9627173,0.310971145,0.99542021,0.087871028,0.029248131,0,5,0,2.970922897,4161.644428,2420.25875,-0.01,200Z,1
21.61632877,0.026450069,176.8536708,0.209669018,0.995172752,0,0.032222407,0,5,0,2.649239281,1625.457165,98.91004149,-0.000497925,200Z,1
18.69320628,-1.087395559,152.926392,0.387433384,0.993640429,0.06094732,0.19505608,0,4.7856049,3.087289433,3.067258806,1627.024456,92.68722818,-0.00050536,200Z,1
19.31233411,0.631619755,327.6157706,0.414197301,0.936542577,0,0.038221926,0,2.088343558,0,3.054748466,-2367.698687,3389.839018,0,200Z,1
21.09731621,0.197087363,172.5606154,0.505904945,0.998384478,0.022358104,0.037005659,0,5,0,3.338722527,1612.4075,87.48679945,-0.000590659,200Z,1
20.61742641,0.20430841,267.0998515,0.433408279,0.915573193,0.043447963,0.046525388,0,2.320630749,0,3.085466491,4140.398686,2404.542063,-0.01,200Z,1
21.1371489,-0.046117265,172.9522348,0.062842956,0.984572238,0,0.029971381,0,5,0,3.034654696,1626.989627,102.6682597,-0.000483425,200Z,1
24.73715561,0.143195419,202.3561043,0.422214692,0.999997156,0.009407741,0.057960632,0,5,0,2.820963665,1619.098894,94.30371248,-0.000552923,200Z,1
11.70158149,-0.219201975,200.4108976,0.345931748,0.739637308,0,0.131460029,0,2.996342356,0.921726408,2.929553767,1625.104638,68.46639356,-0.000102414,200Z,1
22.90630585,0.044658772,270.6937354,0.265109503,0.997148684,0.026526754,0.047712412,0,4,0,2.956374269,1620.834956,93.07017544,-0.000584795,200Z,1
24.11398333,0.220509502,271.7723769,0.446929907,0.960018847,0,0.07674785,0,4.018691589,0,5.380545171,-2382.235981,3404.828022,0,200Z,1
23.32012232,-0.068326094,296.830457,0.055191403,0.999986576,0,0.03756638,0,3,0,3.432458522,4153.585852,2422.42184,-0.01,200Z,1
9.478049308,-0.161926939,291.0228863,0.209985628,0.651943536,0.006770355,0.034675262,0,1.828021648,0.023451594,2.190487072,1671.724179,206.3137041,-0.000222489,200Z,1
18.93358761,0.030943621,154.9024399,0.253880073,0.994024787,0.027544836,0.028883366,0,5,0,3.502952612,1620.597922,100.0116889,-0.000583232,200Z,1
7.986527766,-0.17879599,170.5482482,0.18124731,0.702690558,0.017779391,0.102304061,0,2.140609137,0,2.091040609,1622.629548,64.95720305,-0.000152284,200Z,1
22.98749395,-0.027868584,188.0869661,0.10830531,1,0,0.035870133,0,5,0,3.111740413,1626.206416,101.7799263,-0.000530973,200Z,1
23.57701849,-0.400244684,193.0136086,0.507572881,0.999897843,0.128647149,0.104810616,0,5,6.952234206,3.005793529,4165.265223,2428.849723,-0.01,200Z,1
11.99978829,-0.286112404,166.9356579,0.399300539,0.872027658,0.027032974,0.308817943,0,2.701848998,1.146379045,2.862419106,4141.931495,2386.205593,-0.01,200Z,1
19.59042829,0.187696245,231.5186984,0.251485607,0.969554944,0.013753066,0.031306846,0,4,0,2.9822403,1615.283742,89.79090113,-0.000700876,200Z,0
21.00710754,0.005558546,248.2635585,0.220754509,0.996308614,0.03424751,0.033789529,0,4,0,3.040067295,1624.76035,95.22597577,-0.000551817,200Z,0
22.15552539,-0.009423529,261.8415882,0.084524534,0.999925825,0.006437016,0.032205524,0,4,0,2.946987088,-2388.476227,3416.024304,0,200Z,0
18.69761729,-0.078739136,153.0019664,0.181601561,0.999062305,0.026338175,0.027939964,0.210084034,5,0,3.30180072,1624.30503,96.65037215,-0.000552221,200Z,0
17.24901332,-0.053677293,141.142917,0.089360262,0.999500546,0.010295197,0.023152402,0,5,0,3.147063319,1625.536725,101.0116812,-0.000458515,200Z,0
20.24278235,-0.036712549,172.8340484,0.123310196,0.866093333,0.010569804,0.028874863,0,5,0,2.445189542,-2385.497098,3414.121948,0,200Z,0
23.70416547,-0.358683204,194.0404712,0.032076516,0.999813997,0.004518818,0.174178445,0,5,8.883359253,2.959564541,-2398.501695,3423.622815,0,200Z,0
22.46046563,-0.010377369,265.4458586,0.099363649,0.999768317,0.00469024,0.035113338,0,4,0,3.001640736,1623.036266,99.28178218,-0.000480905,200Z,0
17.73890541,-0.013165823,145.1402313,0.111877791,0.994556617,0.010902301,0.024453855,0,5,0,3.500529344,-2385.739033,3413.026203,0,200Z,0
23.53950107,-0.174632774,256.0280777,0.218302134,0.931645274,0.052995274,0.043799131,0,4.094512195,0,3.237256098,-2383.30346,3413.022378,0,200Z,0
23.54272448,-0.004977003,192.6236855,0.141514985,0.998614243,0,0.042083665,0,5,0,3.229658754,1622.297211,99.18961424,-0.000474777,200Z,0
21.967926,-0.030265837,259.6329267,0.176455048,0.998250622,0.020606501,0.040123721,0,4,0,3.336403873,1616.881646,93.29615491,-0.000539419,200Z,0
21.41009744,0.069944684,253.0009677,0.116953836,0.998426245,0,0.031183661,0,4,0,2.99039031,1620.166851,95.81854643,-0.000551817,200Z,0
22.45897305,-0.075056454,183.7757021,0.212388085,0.999101418,0.024415177,0.034375972,0,5,0,3.233815603,1620.065291,95.80025532,-0.000539007,200Z,0
26.11272703,0.025475338,308.5949105,0.18256098,0.992839696,0,0.057175625,0,4,0,4.498935811,-2386.702635,3412.160524,0,200Z,0
20.05939658,0.02676038,237.0550025,0.134142278,0.999198734,0.016087468,0.029128494,0,4,0,2.963202532,1617.999797,93.26202532,-0.00056962,200Z,0
19.27558112,-0.002780755,246.4030171,0.089080512,0.941262972,0.008667235,0.025906626,0,3,0,3.385249695,1621.994738,97.75660171,-0.00047503,200Z,0
20.28477926,0.138250636,165.9286896,0.37716145,0.99326514,0.016775573,0.031914567,0,5,0,3.269427481,1614.389898,89.03933842,-0.000534351,200Z,0
16.89191279,-0.004219672,213.1062109,0.113558798,0.968967541,0.019617486,0.024517902,0,3.072131148,0,3.017595628,-2381.285803,3411.187279,0,200Z,0
21.50571275,-0.052996608,175.9702402,0.055592266,0.990496744,0,0.029920963,0,5,0,2.850515604,1623.053772,100.1426459,-0.000529172,200Z,0
22.94276609,0.193917098,271.065602,0.275934195,0.963960632,0.017774138,0.043755359,0,4,0,2.953247126,1613.152586,89.29268678,-0.00058908,200Z,0
21.01556636,0.046464106,248.3474543,0.148162252,0.95973457,0.010519603,0.032697444,0,4,0,3.916662252,1616.007947,92.91854305,-0.000490066,200Z,0
24.72586767,0.029206109,292.203343,0.137918891,0.992799812,0,-0.022058731,0,4,0,2.404558271,-597.3981955,2178.806297,-0.000169173,500Y,1
37.61347406,-0.286581935,444.6256452,0.519385935,0.998548903,0.073577806,-0.086208852,0,4,0,2.117470968,-2091.11169,1793.374684,-0.002787097,500Y,1
24.51306709,-0.122302538,200.5946997,0.11906379,0.999978765,0.016030288,-0.018687733,0,5,0,3.340126904,-2091.827056,1797.483316,-0.002664975,500Y,1
26.67577227,0.009839777,218.253663,0.16132915,0.995037348,0,-0.023376012,0,5,0,2.317753036,-602.0649798,2180.92748,-0.000161943,500Y,1
26.77227091,0.372530824,218.9535361,0.710927263,0.991152187,0,-0.034744262,0,5,0,2.742756867,-573.619939,2158.094456,-0.000162767,500Y,1
33.39054937,-0.209820229,394.6971714,0.422235429,0.990639886,0.087762857,-0.039192971,0,4,0,2.762034286,-2088.471177,1790.762526,-0.002651429,500Y,1
26.45934254,0.014373173,216.4815766,0.296647548,0.99825996,0.020284084,-0.023809459,0,5,0,3.207767768,-592.3251051,2170.397447,-0.00015015,500Y,1
21.59604718,-0.013894269,176.698598,0.074680482,0.982834219,0,-0.016775565,0,5,0,2.408280731,-602.0152159,2180.760656,-0.000174419,500Y,1
26.96742352,0.130726994,220.6070706,0.269619121,0.999984969,0,-0.023278262,0,5,0,2.255940695,-591.6507873,2172.18999,-0.000173824,500Y,1
31.21260599,0.189029225,368.801919,0.402905164,0.999429225,0.02384777,-0.046588803,0,4,0,2.431795775,-589.3434977,2168.809284,-0.000199531,500Y,1
29.89459387,-0.043228717,244.6038422,0.138434733,0.996090465,0,-0.025908104,0,5,0,2.985300795,-602.8512486,2180.66294,-0.000170261,500Y,1
34.79992313,0.004732622,284.7253333,0.882304152,0.999996797,0.062814235,-0.05465503,0,5,0,2.267888493,-2080.661957,1787.476109,-0.00262159,500Y,1
24.13927452,0.018619432,307.9878258,0.142690101,0.958915032,0.018121357,-0.020219441,0,3,0,2.296076994,-596.7094959,2173.115481,-0.000192484,500Y,1
